index,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Total Unusual Items,Total Unusual Items Excluding Goodwill,Rent Expense Supplemental,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Other Operating Expenses,Selling And Marketing Expense,Otherunder Preferred Stock Dividend,Minority Interests,Gain On Sale Of Security,Net Income Discontinuous Operations,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Average Dilution Earnings,Gain On Sale Of Business,General And Administrative Expense,Other Gand A,Gain On Sale Of Ppe,Write Off,Earnings From Equity Interest,Earnings From Equity Interest Net Of Tax,Other Taxes,Salaries And Wages,Preferred Stock Dividends,Total Other Finance Cost,Depreciation Income Statement,Provision For Doubtful Accounts,Rent And Landing Fees,Excise Taxes,Insurance And Claims,Net Income From Tax Loss Carryforward,Net Income Extraordinary,Securities Amortization,Depletion Income Statement
2023-10-31 00:00:00,0.0,0.074,1705000000.0,1240000000.0,271000000.0,3368000000.0,1705000000.0,1434000000.0,-44000000.0,95000000.0,51000000.0,1240000000.0,1240000000.0,5483000000.0,1350000000.0,296000000.0,294000000.0,4.19,4.22,1240000000.0,1240000000.0,1240000000.0,1240000000.0,1240000000.0,99000000.0,1339000000.0,33000000.0,33000000.0,-44000000.0,95000000.0,51000000.0,1350000000.0,2115000000.0,481000000.0,1634000000.0,3465000000.0,3368000000.0,6833000000.0,6833000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-31 00:00:00,0.0,0.166,1905000000.0,1254000000.0,317000000.0,3126000000.0,1905000000.0,1588000000.0,-75000000.0,84000000.0,9000000.0,1254000000.0,1254000000.0,5230000000.0,1618000000.0,300000000.0,299000000.0,4.18,4.19,1254000000.0,1254000000.0,1254000000.0,1254000000.0,1254000000.0,250000000.0,1504000000.0,-39000000.0,-39000000.0,-75000000.0,84000000.0,9000000.0,1618000000.0,2104000000.0,467000000.0,1637000000.0,3722000000.0,3126000000.0,6848000000.0,6848000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-31 00:00:00,0.0,0.11,1762000000.0,1210000000.0,321000000.0,2912000000.0,1762000000.0,1441000000.0,-79000000.0,81000000.0,2000000.0,1210000000.0,1210000000.0,4972000000.0,1347000000.0,307000000.0,304000000.0,3.94,3.98,1210000000.0,1210000000.0,1210000000.0,1210000000.0,1210000000.0,150000000.0,1360000000.0,92000000.0,92000000.0,-79000000.0,81000000.0,2000000.0,1347000000.0,2060000000.0,441000000.0,1619000000.0,3407000000.0,2912000000.0,6319000000.0,6319000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31 00:00:00,0.0,0.146,1228000000.0,719000000.0,308000000.0,2502000000.0,1228000000.0,920000000.0,-70000000.0,78000000.0,8000000.0,719000000.0,719000000.0,4493000000.0,846000000.0,312000000.0,309000000.0,2.3,2.33,719000000.0,719000000.0,719000000.0,719000000.0,719000000.0,123000000.0,842000000.0,66000000.0,66000000.0,-70000000.0,78000000.0,8000000.0,846000000.0,1991000000.0,495000000.0,1496000000.0,2837000000.0,2502000000.0,5339000000.0,5339000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31 00:00:00,-258991079.393399,0.266726,6491000000.0,822000000.0,2254000000.0,40978000000.0,5520000000.0,3266000000.0,-1554000000.0,2145000000.0,591000000.0,1534008920.606601,822000000.0,48783000000.0,3034000000.0,719669000.0,653612000.0,1.21,1.26,822000000.0,822000000.0,822000000.0,822000000.0,822000000.0,299000000.0,1121000000.0,-1330000000.0,-359000000.0,-1554000000.0,2145000000.0,591000000.0,4005000000.0,7805000000.0,,1799000000.0,11810000000.0,40978000000.0,52788000000.0,49324000000.0,-971000000.0,-971000000.0,4297000000.0,-971000000.0,948000000.0,0.0,23000000.0,6006000000.0,1799000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31 00:00:00,-61220430.107527,0.317204,4639000000.0,127000000.0,2298000000.0,39934000000.0,4446000000.0,2148000000.0,-1746000000.0,1962000000.0,216000000.0,258779569.892473,127000000.0,47171000000.0,1607000000.0,655122000.0,650345000.0,0.19,0.2,127000000.0,127000000.0,127000000.0,127000000.0,127000000.0,59000000.0,186000000.0,132000000.0,325000000.0,-1746000000.0,1962000000.0,216000000.0,1800000000.0,7237000000.0,,1815000000.0,9037000000.0,39934000000.0,48971000000.0,45801000000.0,-193000000.0,-193000000.0,4125000000.0,-193000000.0,44000000.0,149000000.0,0.0,5422000000.0,1815000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31 00:00:00,872578492.935636,0.217818,-2419000000.0,-1993000000.0,2335000000.0,29855000000.0,1587000000.0,-748000000.0,-1782000000.0,1800000000.0,18000000.0,-5126421507.064364,-1993000000.0,34947000000.0,-1059000000.0,644015000.0,644015000.0,-3.09,-3.09,-1993000000.0,-1993000000.0,-1993000000.0,-1993000000.0,-1993000000.0,-555000000.0,-2548000000.0,4299000000.0,293000000.0,-1782000000.0,1800000000.0,18000000.0,-5065000000.0,5092000000.0,,1098000000.0,27000000.0,29855000000.0,29882000000.0,27377000000.0,4006000000.0,4006000000.0,4044000000.0,4006000000.0,-4174000000.0,0.0,168000000.0,3994000000.0,1098000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31 00:00:00,147313018.423121,0.224221,-8513000000.0,-8885000000.0,2370000000.0,24563000000.0,-7856000000.0,-10226000000.0,-1186000000.0,1227000000.0,41000000.0,-9394686981.57688,-8885000000.0,28415000000.0,-10421000000.0,483888000.0,483888000.0,-18.36,-18.36,-8885000000.0,-8885000000.0,-8885000000.0,-8885000000.0,-8885000000.0,-2568000000.0,-11453000000.0,811000000.0,154000000.0,-1186000000.0,1227000000.0,41000000.0,-11078000000.0,3852000000.0,,666000000.0,-7226000000.0,24563000000.0,17337000000.0,15287000000.0,657000000.0,657000000.0,3345000000.0,657000000.0,-3549000000.0,1484000000.0,1408000000.0,3186000000.0,666000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
